Cd Empresa;Cd Filial;Nm Filial;Tipo Local;Cd Local;Ds Local Estoque;Cd Item;Nome do Item Resumido ;Nome do Item Detalhado;Cd Unidade Medida;Cd Grupo;Nm Grupo;Cd Subgrupo;Nm Subgrupo;Cd Classe;Nm Classe;Qt Saldo Atual;Vl Custo Unitario Atual;Vl Saldo Atual;Qt Maximo;Qt Minimo;Qt Previsao Consumo;Cd Reparticao;Cd Prateleira;Cd Divisao
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;303015;ROLO DE LA 9CM ANTI GOTAS CO;ROLO DE LA 9CM ANTI GOTAS COM CABO;UN;2;MATERIAIS GERAIS USO/CONSUMO;4;PECAS REPOSICAO CIVIL;2;PINTURA                       ;0;6,23758866;0;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;303096;RETENTOR DOS MOLDES DE FORMA;RETENTOR DOS MOLDES DE FORMAGEM COD  78310014240  DA MULTIVAC R530;UN;2;MATERIAIS GERAIS USO/CONSUMO;1;PECAS REPOSICAO MECANICA;34;RETENTORES;0;60,778;0;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;303104;"ANEL;MULTIVAC/78301055300";ANELMULTIVAC78301055300;UN;2;MATERIAIS GERAIS USO/CONSUMO;1;PECAS REPOSICAO MECANICA;19;ANÉIS;0;47,34;0;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;303107;GAXETA ESPECIFICO 8020940100;GAXETA ESPECIFICO 80209401000 MULTIVAC;UN;2;MATERIAIS GERAIS USO/CONSUMO;1;PECAS REPOSICAO MECANICA;42;GAXETAS E GAXEIRAS;0;103,294;0;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;303117;ANEL ESPECIFICO 78301016200 ;ANEL ESPECIFICO 78301016200 MULTIVAC;UN;2;MATERIAIS GERAIS USO/CONSUMO;1;PECAS REPOSICAO MECANICA;19;ANÉIS;0;13,859;0;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;303118;ANEL ESPECIFICO 78301032301 ;ANEL ESPECIFICO 78301032301 MULTIVAC;UN;2;MATERIAIS GERAIS USO/CONSUMO;1;PECAS REPOSICAO MECANICA;19;ANÉIS;0;54,618;0;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;303233;SENSOR ESPECIFICO 860776 HAN;SENSOR ESPECIFICO 860776 HANDTMANN;PC;2;MATERIAIS GERAIS USO/CONSUMO;2;PECAS REPOSICAO ELETRICA;11;SENSORES;0;2397,165513;0;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;303607;RETENTOR BRG MATERIAL BORRAC;RETENTOR BRG MATERIAL BORRACHA NITRILICA NBR ESTR LAB LISO DIAMETRO INTERNO 40 MM DIAMETRO EXTERNO 52 MM ALTURA 74 MM;UN;2;MATERIAIS GERAIS USO/CONSUMO;1;PECAS REPOSICAO MECANICA;34;RETENTORES;0;12,33;0;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;303848;ANTICORROSIVO SPRAY ACO INOX;ANTICORROSIVO SPRAY ACO INOX WURTH EMBALAGEM 400ML;UN;2;MATERIAIS GERAIS USO/CONSUMO;4;PECAS REPOSICAO CIVIL;2;PINTURA                       ;3;181,4366667;544,31;6;3;;F;2;3
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;304485;PONTO ESPECIFICO 3966051 STO;PONTO ESPECIFICO 3966051 STORK MAREL FOOD;PC;2;MATERIAIS GERAIS USO/CONSUMO;1;PECAS REPOSICAO MECANICA;1;EQUIPAMENTOS IMPORTADOS       ;0;1379;0;;;;;;
