cod_item;saldo_atual;valor_total
200514;0;0
200794;26000;7530,44818
258571;0;0
289450;0;0
302669;0;0
314961;24800;8968,077492
315426;194000;2260,78123
315663;0;0
318691;0;0
325119;0;0
326095;0;0
326102;0;0
326103;0;0
326104;0;0
326105;0;0
326106;0;0
326107;0;0
326108;0;0
326109;0;0
326110;0;0
326111;0;0
326113;0;0
326114;0;0
326115;0;0
326117;0;0
326118;0;0
326120;0;0
326121;0;0
326408;0;0
326665;0;0
326752;0;0
327456;0;0
328490;0;0
329071;0;0
329325;0;0
332896;0;0
337102;0;0
338282;0;0
341274;0;0
344105;1260;9139,806061
344186;700;13287,85051
353198;0;0
353516;0;0
354332;0;0
356298;0;0
362628;0;0
362702;0;0
362745;0;0
362746;0;0
362747;0;0
362954;0;0
362957;0;0
363209;0;0
363497;0;0
364730;0;0
368170;0;0
368677;0;0
375560;0;0
377533;0;0
382627;0;0
382631;0;0
384431;0;0
397020;0;0
402872;0;0
403674;0;0
406043;0;0
407064;0;0
407362;0;0
407363;0;0
408790;0;0
410386;0;0
418299;0;0
419012;0;0
419392;0;0
421600;0;0
421626;0;0
422921;0;0
423585;0;0
424266;2600;206,162668
425552;0;0
425556;0;0
425557;0;0
426773;0;0
428064;0;0
428324;0;0
428327;0;0
428332;0;0
429094;0;0
429355;0;0
431502;1243;9820,704807
432087;0;0
432729;0;0
433697;0;0
433698;0;0
437249;0;0
437700;0;0
437804;0;0
437875;0;0
438294;10000;1004,525
438898;0;0
438910;0;0
438928;40000;4823,807
438944;0;0
438979;0;0
441170;0;0
441965;0;0
449458;0;0
451970;168000;14169,23856
452165;0;0
454453;0;0
454489;0;0
455052;0;0
455056;0;0
456043;0;0
456123;34667;25583,03778
456152;0;0
456591;0;0
458040;0;0
459728;0;0
459729;0;0
459730;0;0
459731;0;0
459732;0;0
459733;0;0
460338;0;0
460765;0;0
462665;0;0
462760;0;0
463022;0;0
463038;29900;19996,79763
463148;0;0
463200;0;0
463201;0;0
463202;0;0
463203;0;0
463204;0;0
463206;0;0
463207;0;0
463208;0;0
463209;0;0
463280;0;0
463906;0;0
464069;0;0
466139;0;0
466459;0;0
466461;0;0
466489;0;0
468113;0;0
468226;0;0
469746;0;0
471161;15973;18703,08273
471658;0;0
471672;0;0
471998;0;0
472027;0;0
472499;0;0
472500;0;0
472501;0;0
472502;0;0
472574;0;0
473339;0;0
473366;0;0
474252;0;0
475346;0;0
475520;0;0
477175;0;0
477197;0;0
477198;0;0
477377;10910;2597,524572
478292;0;0
478424;0;0
478661;0;0
478818;0;0
479033;0;0
480817;0;0
482178;0;0
482179;0;0
482180;0;0
482181;0;0
482182;0;0
482183;0;0
482184;0;0
482185;0;0
482186;0;0
482187;0;0
482189;0;0
482190;0;0
482191;0;0
482192;0;0
482193;0;0
482194;0;0
482195;0;0
482204;0;0
483218;219566;59044,40799
483219;0;0
483364;0;0
484010;0;0
484214;0;0
484692;0;0
484867;0;0
484868;0;0
484869;0;0
484871;0;0
484872;0;0
484874;0;0
484875;0;0
484876;0;0
484877;0;0
484878;0;0
485213;0;0
487828;0;0
491863;0;0
491866;101249;36449,20205
491867;0;0
491869;0;0
491871;49847;15662,70568
491872;0;0
491880;0;0
491891;0;0
491898;25609;8597,364648
493003;0;0
493386;0;0
493387;0;0
493388;0;0
493389;0;0
493390;0;0
493395;0;0
