Mês Movimento;Cd Filial;Nm Filial;Cd Item;Nm Item;Cd Local Estoque;Ds Local Estoque;Qt Movimento;Vl Movimento;soma quantidade movimento
julho;704;ROLANDIA - AB. AVES;366154;"PILHA ALCALINA;TAMANHO AA;1,";14;MATERIAIS ADMINISTRATIVOS;-32;-94,5;-32
julho;704;ROLANDIA - AB. AVES;366722;MANCAL S/ROLAMENTO MATERIAL;5;MANUTENÇÃO MECANICA;-1;-68,7705;-1
julho;704;ROLANDIA - AB. AVES;367573;GRAXA PASTOSO BE BASE OLEO S;606;COMBUSTIVEIS E LUBRIFICANTES;-1;-3527,469588;-1
julho;704;ROLANDIA - AB. AVES;367744;CORREIA ESPECIFICO 100202350;5;MANUTENÇÃO MECANICA;-2;-616,0681285;-2
julho;704;ROLANDIA - AB. AVES;368005;BARRA NAO METALICA CIRCULAR;5;MANUTENÇÃO MECANICA;-1;-430,725;-1
julho;704;ROLANDIA - AB. AVES;368064;"PLACA;MEYN/07000010E0310";5;MANUTENÇÃO MECANICA;-20;-8567,485;-20
julho;704;ROLANDIA - AB. AVES;368073;DESINFETANTE VORTEXX ECOLAB;616;DETERGENTES INDUSTRIAIS;-9;-4275,8712;-9
julho;704;ROLANDIA - AB. AVES;368472;OLEO LUBRIFICANTE INDUSTRIAL;606;COMBUSTIVEIS E LUBRIFICANTES;0;0;0
julho;704;ROLANDIA - AB. AVES;368677;FITA TESTE CLORO FORNECIMENT;16;MEDICAMENTOS M-TECH;-215;-10632,20541;-215
julho;704;ROLANDIA - AB. AVES;369020;"TOMADA BLINDADA;SOBREP;2P+T;";7;MANUTENÇÃO ELETRICA;-16;-1869,6352;-16
julho;704;ROLANDIA - AB. AVES;369051;ELETRODUTO RIGIDO N/ METALIC;7;MANUTENÇÃO ELETRICA;-1;-22,61083333;-1
julho;704;ROLANDIA - AB. AVES;369133;PLUG INDUSTRIAL MATERIAL CAR;7;MANUTENÇÃO ELETRICA;-3;-3,88E+02;-3
julho;704;ROLANDIA - AB. AVES;369211;ABRACADEIRA NAO METALICA P/E;7;MANUTENÇÃO ELETRICA;-4;-10,72;-4
julho;704;ROLANDIA - AB. AVES;369274;OLEO LUBRIFICANTE INDUSTRIAL;606;COMBUSTIVEIS E LUBRIFICANTES;-19;-66812,54;-19
julho;704;ROLANDIA - AB. AVES;369293;"OLEO LUBRIFICANTE;ISOVG 220;";606;COMBUSTIVEIS E LUBRIFICANTES;0;0;0
julho;704;ROLANDIA - AB. AVES;369295;OLEO LUBRIFICANTE INDUSTRIAL;606;COMBUSTIVEIS E LUBRIFICANTES;-2;-3310,016667;-2
julho;704;ROLANDIA - AB. AVES;369540;GAS GLP BOTIJAO 13KG;14;MATERIAIS ADMINISTRATIVOS;-3;-335;-3
julho;704;ROLANDIA - AB. AVES;369818;CLIPE ESCRITORIO TIPO SIMPLE;14;MATERIAIS ADMINISTRATIVOS;-6;-59,7;-6
julho;704;ROLANDIA - AB. AVES;369897;ANEL ESPECIFICO 080371080 ST;299;ITENS CRITICOS;-6;-135,68;-6
julho;704;ROLANDIA - AB. AVES;369953;CANETA QUADRO BRANCO ESCRITA;14;MATERIAIS ADMINISTRATIVOS;-2;-15,42;-2
julho;704;ROLANDIA - AB. AVES;369960;CANETA QUADRO BRANCO ESCRITA;14;MATERIAIS ADMINISTRATIVOS;-4;-30,84;-4
julho;704;ROLANDIA - AB. AVES;370177;SACO LIXO INDUSTRIAL MATERIA;607;HIGIENE E LIMPEZA;-1500;-599,17047;-1500
julho;704;ROLANDIA - AB. AVES;371027;BUCHA FIXACAO PARAF TIPO UNI;5;MANUTENÇÃO MECANICA;-6;-0,3429459;-6
julho;704;ROLANDIA - AB. AVES;371810;GAS GLP BOTIJAO 20KG;10;COMBUSTIVEIS E LUBRIFICANTES;-24;-2896,713571;-24
julho;704;ROLANDIA - AB. AVES;371942;REFIL RODO BORRACHA BRANCO 6;12;MATERIAIS DE LIMPEZA;-14;-311,157;-14
julho;704;ROLANDIA - AB. AVES;371942;REFIL RODO BORRACHA BRANCO 6;607;HIGIENE E LIMPEZA;-3;-66,6765;-3
julho;704;ROLANDIA - AB. AVES;371943;REFIL RODO BORRACHA AZUL 45;12;MATERIAIS DE LIMPEZA;-9;-212,47;-9
