cod_filial;nome_filial;LC_ESTOQUE;NOME_ESTOQUE;cod_item;nome_item;prateleira;divisao;reparticao;EST_MAX;EST_MIN;lead_time;cod_fornecedor;equipamento;especificacao;locais_aplicacao
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;358745;MOLA ESPECIFICO 0990V0070770;E0;6;5;0;0;45 DIAS;;;MOLA ESPECIFICO 0990V00707700 MEYN;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;358994;ROLAMENTO AXIA ESF 51105 ESC;E1;4;8;100;40;45 DIAS;;;ROLAMENTO AXIA ESF 51105 ESCORA SIMPLES GAIOLA ACO TOLERANCIA NORMAL 26 MM 42 MM 11 MM;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;359158;ROLAMENTO ESPECIFICO 8906890;E1;1;7;0;0;45 DIAS;;;ROLAMENTO ESPECIFICO 8906890170003 MEYN;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;359459;CORREIA TRANSM V N SECAO UNI;E2;1;97;8;4;45 DIAS;;;CORREIA TRANSM V N SECAO UNIT A 25;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;359754;CARRINHO ESPECIFICO 07000000;E0;6;4;60;50;45 DIAS;;;CARRINHO ESPECIFICO 07000000G0901 MEYN;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;361006;RETENTOR BRG MATERIAL BORRAC;E3;5;6;5;3;45 DIAS;;;RETENTOR BRG MATERIAL BORRACHA NITRILICA NBR ESTR LAB LISO DIAMETRO INTERNO 40 MM DIAMETRO EXTERNO 62 MM ALTURA 7 MM;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;362731;"CORREIA;ULMA/3480729";B5;4;2;1;1;45 DIAS;;;CORREIAULMA3480729;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;363320;DISCO ESPECIFICO EVI0000419P;E3;2;7;14;10;45 DIAS;;;DISCO ESPECIFICO EVI0000419P TECTRU;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;363519;ROLAMENTO RIGIDO ESFERA 6905;E1;4;4;6;3;45 DIAS;;;ROLAMENTO RIGIDO ESFERA 6905 UMA CARREIRA FUR CIL MAT ANEIS E CORPOS ROLANT AI ANEL EXT CIL ANEL INT CON RANH SRANH FOLGA C3 GAIOLA ACO INOX DUPLA SBLINDAGEM DIAM IN 25 MM DIAM EX 42 MM LARG 9 MM;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;363645;ROLAMENTO ESPECIFICO 8906910;E1;3;2;140;100;45 DIAS;;;ROLAMENTO ESPECIFICO 8906910170032 MEYN;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;363754;ELEMENTO ESPECIFICO 16139503;B6;3;2;2;1;45 DIAS;;;ELEMENTO ESPECIFICO 1613950300 ATLAS COPCO;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;364597;VALVULA ESPECIFICO 951A0114H;E0;4;4;2;1;45 DIAS;;;VALVULA ESPECIFICO 951A0114H02 JOHNSON CONTROLS;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;364930;ROLAMENTO RIGIDO ESFERA 6200;E1;3;3;50;25;45 DIAS;;;ROLAMENTO RIGIDO ESFERA 6200 UMA CARREIRA FUR CIL MAT ANEIS E CORPOS ROLANT AI ANEL EXT CIL ANEL INT CON RANH SRANH FOLGA NOR GAIOLA ACO INOX DUPLA SBLINDAGEM DIAM IN 10 MM DIAM EX 30 MM LARG 9 MM;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;365872;ELEMENTO ESPECIFICO 531A0218;B6;3;7;8;6;45 DIAS;;;ELEMENTO ESPECIFICO 531A0218H02 JOHNSON CONTROLS;
