Chave Filial;Data;Area;Cd Local Estoque;Filial;Item;Nome Diretoria;Nome Grupo;Nome Agrupado;Nome Classe;Nome Cluster;Nome Complexo;Nome Regional;Nome SubGrupo;Nome Utilização;Consumo Meta;Consumo Real;Excesso;Giro Meta;Giro Real;Giro sem Excesso;Saldo Meta;Saldo Real;Saldo sem Excesso;Saldo Qtd;Consumo Qtd
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;388251 - DISJUNTOR MOTOR TRIP 220VCA;N/D;Criticos;Total Outros;DISJUNTORES;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO ELETRICA;CRITICOS;0;0;0;-;-;-;0;0,44;0,44;0,001;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;388493 - CILINDRO ESPECIFICO 2038 PLA;N/D;Criticos;Total Outros;CILINDROS;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0;0;-;-;-;0;2,28224;2,28224;0,002;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;388708 - RETENTOR BAGS MATERIAL COMPO;N/D;Criticos;Total Outros;RETENTORES;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0;0;-;-;-;0;2,165873333;2,165873333;0,019;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;"388779 - TAMPA;KARCHER/54111730";N/D;Criticos;Total Outros;TAMPAS;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0,0197676;0;-;70;70;0;0,0461244;0,0461244;0,007;0,003
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;388864 - ENGRENAGEM ESPECIFICO 42072;N/D;Criticos;Total Outros;ENGRENAGENS;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0;0;-;-;-;0;2,8899405;2,8899405;0,009;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;389464 - SENSOR FOTOELETRICO REFERENC;N/D;Criticos;Total Outros;SENSORES;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO ELETRICA;CRITICOS;0;0;0;-;-;-;0;0,37651;0,37651;0,001;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;389558 - BLOCO ESPECIFICO 3864063 STO;N/D;Criticos;Total Outros;MATERIAL MANUTENCAO INDUSTRIAL;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0;0;-;-;-;0;2,45834;2,45834;0,002;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;389645 - TAMPA MATERIAL ACO USO CAIXA;N/D;Criticos;Total Outros;TAMPAS DE PROTECAO;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO ELETRICA;CRITICOS;0;0;0;-;-;-;0;0,18155;0,18155;0,002;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;389998 - TAMPA ESPECIFICO 13615289 SE;N/D;Criticos;Total Outros;TAMPAS DE PROTECAO;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO ELETRICA;CRITICOS;0;0;0;-;-;-;0;0,435596;0,435596;0,005;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;390520 - ANEL ESPECIFICO 070000000038;N/D;Criticos;Total Outros;ANÉIS;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0;0;-;-;-;0;0,582877708;0,582877708;0,001;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;390557 - GUIA ESPECIFICO 07000010D003;N/D;Criticos;Total Outros;GUIAS;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;2,02743;0;-;0;0;0;0;0;0;0,001
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;390727 - ROLAMENTO RIGIDO ESFERA Y215;N/D;Criticos;Total Outros;ROLAMENTOS;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0;0;-;-;-;0;0,98;0,98;0,002;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;390883 - VEDACAO ESPECIFICO 880121 NE;N/D;Criticos;Total Outros;VEDANTES;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0;0;-;-;-;0;0,17;0,17;0,001;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;390884 - ANEL ESPECIFICO 876399 NETZS;N/D;Criticos;Total Outros;ANÉIS;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0;0;-;-;-;0;0,23787;0,23787;0,001;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;391408 - DENTE ESPECIFICO 3897413 STO;N/D;Criticos;Total Outros;PECAS EQUIPAMENTO PRODUCAO;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0;0;-;-;-;0;21,74295;21,74295;0,024;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;391838 - PORCA ESPECIFICO 000185074 S;N/D;Criticos;Total Outros;PARAFUSOS E PORCAS;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0;0;-;-;-;0;0,00671;0,00671;0,002;0
